product_name,price,image_url,category_name,receive_date,expiry_date,status,quantity
แก้วมังกรขาวหั่นติดเปลือก แพ็คละ,29.00,https://o2o-static.lotuss.com/products/107654/75644899.jpg,ผลไม้,,2026-03-10,normal,0
มะม่วงพร้อมน้ำปลาหวาน แพ็คละ,29.00,https://o2o-static.lotuss.com/products/107654/75644765.jpg,ผลไม้,,2026-03-07,normal,0
ขนุนแกะ แพ็คละ,29.00,https://o2o-static.lotuss.com/products/107654/75644891.jpg,ผลไม้,,2026-02-28,normal,0
ส้มโอขาวน้ำผึ้งแกะ แพ็คละ,39.00,https://o2o-static.lotuss.com/products/107654/75644767.jpg,ผลไม้,,2026-03-05,normal,0
เมล่อนสีเขียว แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/75644893.jpg,ผลไม้,,2026-03-05,normal,0
ฝรั่งไส้แดงพร้อมพริกเกลือ แพ็คละ,29.00,https://o2o-static.lotuss.com/products/107654/75644764.jpg,ผลไม้,,2026-03-08,normal,0
แคนตาลูป แพ็คละ,29.00,https://o2o-static.lotuss.com/products/107654/75644892.jpg,ผลไม้,,2026-03-07,normal,0
แซมบาซอน อาไซอิเบอร์รี่ ไม่มีน้ำตาล 400 กรัม,375.00,https://o2o-static.lotuss.com/products/107654/75627706.jpg,ผลไม้,,2026-03-06,normal,0
เอโร่ สตรอเบอร์รีแช่แข็ง 1000 กรัม,99.00,https://o2o-static.lotuss.com/products/107654/75647454.jpg,ผลไม้,,2026-03-02,normal,0
ซันนี่เดย์ ราสพ์เบอร์รีแช่แข็ง 450 กรัม,169.00,https://o2o-static.lotuss.com/products/107654/73247308.jpg,ผลไม้,,2026-03-09,normal,0
โลตัส มิกซ์เบอร์รี่แช่แข็ง 1000 กรัม,159.00,https://o2o-static.lotuss.com/products/107654/75614265.jpg,ผลไม้,,2026-03-10,normal,0
โลตัส สตรอเบอร์รี่แช่แข็ง 1000 กรัม,89.00,https://o2o-static.lotuss.com/products/107654/75614264.jpg,ผลไม้,,2026-02-27,normal,0
โลตัส ราสเบอร์รี่แช่แข็ง 500 กรัม,139.00,https://o2o-static.lotuss.com/products/107654/75614266.jpg,ผลไม้,,2026-03-04,normal,0
ซันนี่เดย์ สตอเบอร์รีแช่แข็ง 450 กรัม,94.00,https://o2o-static.lotuss.com/products/107654/71158529.jpg,ผลไม้,,2026-02-28,normal,0
แซมบาซอน อาไซอิเบอร์รี่ ออริจินัล 400 กรัม,375.00,https://o2o-static.lotuss.com/products/107654/75627707.jpg,ผลไม้,,2026-03-07,normal,0
เอโร่ มิกซ์เบอรี่แช่แข็ง 1000 กรัม,185.00,https://o2o-static.lotuss.com/products/107654/75627817.jpg,ผลไม้,,2026-03-07,normal,0
ซันนี่เดย์ กีวี่แช่แข็ง 450 กรัม,95.00,https://o2o-static.lotuss.com/products/107654/74532650.jpg,ผลไม้,,2026-03-09,normal,0
โลตัส ราสเบอร์รี่แช่แข็ง 450 กรัม,179.00,https://o2o-static.lotuss.com/products/107654/75301636.jpg,ผลไม้,,2026-03-07,normal,0
เอโร่ แห้วแช่แข็ง 1000 กรัม,135.00,https://o2o-static.lotuss.com/products/107654/75537834.jpg,ผลไม้,,2026-03-02,normal,0
ซันนี่เดย์ ส้มแมนดารินแช่แข็ง 450 กรัม,95.00,https://o2o-static.lotuss.com/products/107654/74532642.jpg,ผลไม้,,2026-02-27,normal,0
ซันนี่เดย์ มิกซ์เบอร์รี่แช่แข็ง 450 กรัม,149.00,https://o2o-static.lotuss.com/products/107654/72941669.jpg,ผลไม้,,2026-02-28,normal,0
โลตัส มิกซ์เบอร์รี่แช่แข็ง 450 กรัม,130.00,https://o2o-static.lotuss.com/products/107654/75301628.jpg,ผลไม้,,2026-03-09,normal,0
เอโร่ น้ำมะนาวแช่แข็ง 1000 กรัม,135.00,https://o2o-static.lotuss.com/products/107654/75537836.jpg,ผลไม้,,2026-02-28,normal,0
ซันนี่เดย์ สตรอเบอร์รี่แช่แข็ง 1 กก.,179.00,https://o2o-static.lotuss.com/products/107654/74340972.jpg,ผลไม้,,2026-02-28,normal,0
โลตัส บลูเบอร์รี่แช่แข็ง 500 กรัม,139.00,https://o2o-static.lotuss.com/products/107654/75614267.jpg,ผลไม้,,2026-03-04,normal,0
เอโร่ สตรอว์เบอร์รีแช่แข็ง 1000 กรัม,99.00,https://o2o-static.lotuss.com/products/107654/75655646.jpg,ผลไม้,,2026-03-04,normal,0
โลตัส พีชสดแช่แข็ง 500 กรัม,45.00,https://o2o-static.lotuss.com/products/107654/75614271.jpg,ผลไม้,,2026-03-01,normal,0
โลตัส สตรอเบอร์รี่แช่แข็ง 800 กรัม,130.00,https://o2o-static.lotuss.com/products/107654/75301571.jpg,ผลไม้,,2026-03-10,normal,0
เอโร่ บลูเบอร์รี่แช่แข็ง 1000 กรัม,113.00,https://o2o-static.lotuss.com/products/107654/75655648.jpg,ผลไม้,,2026-03-10,normal,0
โลตัส บลูเบอร์รี่แช่แข็ง 400 กรัม,130.00,https://o2o-static.lotuss.com/products/107654/75301644.jpg,ผลไม้,,2026-03-10,normal,0
เอโร่ รากบัวสไลซ์ แช่แข็ง 1000 กรัม,109.00,https://o2o-static.lotuss.com/products/107654/75537835.jpg,ผลไม้,,2026-03-10,normal,0
โลตัส กล้วยหอมคัดพิเศษ หวีละ,149.00,https://o2o-static.lotuss.com/products/107654/19611269.jpg,ผลไม้,,2026-02-28,normal,0
แก้วมังกรเหลือง กก.ละ,99.00/กก.,https://o2o-static.lotuss.com/products/107654/23872594.jpg,ผลไม้,,2026-02-28,normal,0
แอปเปิ้ลเอนวี่ 4 ลูก แพ็คละ,199.00,https://o2o-static.lotuss.com/products/107654/75670752.jpg,ผลไม้,,2026-03-03,normal,0
ส้มแดนดี้ แมนดี้ 1.2 กก. แพ็คละ,139.00,https://o2o-static.lotuss.com/products/107654/75662610.jpg,ผลไม้,,2026-03-03,normal,0
ส้มแดนดี้ แมนดี้ 1.2 กก. แพ็คละ,139.00,https://o2o-static.lotuss.com/products/107654/75663770.jpg,ผลไม้,,2026-03-07,normal,0
มะม่วงโชคอนันต์สุก กก.ละ,68.00/กก.,https://o2o-static.lotuss.com/products/107654/51467429.jpg,ผลไม้,,2026-03-02,normal,0
องุ่นแดงไร้เมล็ด กก.ละ,149.00/กก.,https://o2o-static.lotuss.com/products/107654/74773577.jpg,ผลไม้,,2026-03-10,normal,0
แอปเปิ้ลพิงค์คิดส์ ไซส์ S 9 ลูก แพ็คละ,109.00,https://o2o-static.lotuss.com/products/107654/75670290.jpg,ผลไม้,,2026-03-07,normal,0
มะม่วงเขียวเสวย กก.ละ,99.00/กก.,https://o2o-static.lotuss.com/products/107654/12657301.jpg,ผลไม้,,2026-03-07,normal,0
มะม่วงเขียวสามรส กก.ละ,69.00/กก.,https://o2o-static.lotuss.com/products/107654/75095661.jpg,ผลไม้,,2026-02-28,normal,0
ลำไยคัดพิเศษ แพ็คละ,49.00,https://o2o-static.lotuss.com/products/107654/23882190.jpg,ผลไม้,,2026-03-08,normal,0
แอปเปิ้ลซอนย่า 6 ลูก แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75601316.jpg,ผลไม้,,2026-03-04,normal,0
แอปเปิ้ลเชอร์ริส แพ็คละ,109.00,https://o2o-static.lotuss.com/products/107654/52481788.jpg,ผลไม้,,2026-03-04,normal,0
แก้วมังกร พันธุ์ไทย กก.ละ,33.00/กก.,https://o2o-static.lotuss.com/products/77354/73615587.jpg,ผลไม้,,2026-03-05,normal,0
องุ่นเขียวไร้เมล็ด กก.ละ,69.00/กก.,https://o2o-static.lotuss.com/products/107654/70546711.jpg,ผลไม้,,2026-03-10,normal,0
ลูกพีชสีทอง แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75662630.jpg,ผลไม้,,2026-03-06,normal,0
เซสปรี กีวี่มิกซ์ แพ็คละ,259.00,https://o2o-static.lotuss.com/products/107654/73109479.jpg,ผลไม้,,2026-03-08,normal,0
เชอร์รี่ 1 กก. แพ็คละ,799.00,https://o2o-static.lotuss.com/products/107654/75638625.jpg,ผลไม้,,2026-03-03,normal,0
องุ่นไชน์มัสแคท 500 กรัม แพ็คละ,109.00,https://o2o-static.lotuss.com/products/107654/75659774.jpg,ผลไม้,,2026-02-27,normal,0
องุ่นเคียวโฮ 500 กรัม แพ็คละ,89.00,https://o2o-static.lotuss.com/products/107654/75659775.jpg,ผลไม้,,2026-03-02,normal,0
ลิ้นจี่จักรพรรดิ์ กก.ละ,120.00/กก.,https://o2o-static.lotuss.com/products/107654/13201220.jpg,ผลไม้,,2026-03-09,normal,0
โลตัส อโวคาโดไทย 1 กก. แพ็คละ,129.00,https://o2o-static.lotuss.com/products/107654/51921445.jpg,ผลไม้,,2026-02-27,normal,0
แอปเปิ้ลเขียว ไซส์ M 4 ลูก แพ็คละ,79.00,https://o2o-static.lotuss.com/products/107654/4367030.jpg,ผลไม้,,2026-03-01,normal,0
มังคุด แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75581593.jpg,ผลไม้,,2026-03-09,normal,0
ลูกพลับสด แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/10901698.jpg,ผลไม้,,2026-03-02,normal,0
โลตัส ลูกพลับนำเข้า ไซส์ XL ลูกละ,99.00,https://o2o-static.lotuss.com/products/107654/10690808.jpg,ผลไม้,,2026-03-07,normal,0
มะม่วงงาช้างแดง กก.ละ,69.00/กก.,https://o2o-static.lotuss.com/products/107654/51781327.jpg,ผลไม้,,2026-02-28,normal,0
ส้มโชกุนเบอร์ 5 กก.ละ,149.00/กก.,https://o2o-static.lotuss.com/products/107654/24008893.jpg,ผลไม้,,2026-03-10,normal,0
เมล่อนญี่ปุ่นเนื้อส้ม คัดพิเศษ กก.ละ,149.00/กก.,https://o2o-static.lotuss.com/products/107654/72254327.jpg,ผลไม้,,2026-03-04,normal,0
มะม่วงแดงจักรพรรดิ์ กก.ละ,69.00/กก.,https://o2o-static.lotuss.com/products/107654/75648709.jpg,ผลไม้,,2026-03-02,normal,0
โครงการหลวง มะม่วงนวลคำ กก.ละ,52.00/กก.,https://o2o-static.lotuss.com/products/107654/51355533.jpg,ผลไม้,,2026-03-02,normal,0
เมล่อนญี่ปุ่นเนื้อเขียว คัดพิเศษ กก.ละ,149.00/กก.,https://o2o-static.lotuss.com/products/107654/72254319.jpg,ผลไม้,,2026-03-04,normal,0
ตะไคร้น้ำปลาหวาน รสเผ็ดน้อย 200 กรัม,64.00,https://o2o-static.lotuss.com/products/107654/71339167.jpg,ผลไม้,,2026-03-07,normal,0
โลตัส แอปเปิ้ลคินเซ ลูกละ,129.00,https://o2o-static.lotuss.com/products/107654/26446871.jpg,ผลไม้,,2026-03-05,normal,0
โลตัส มังคุด แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/75598165.jpg,ผลไม้,,2026-03-10,normal,0
ลิ้นจี่จักรพรรดิ์ กก.ละ,49.00/กก.,https://o2o-static.lotuss.com/products/107654/4952.jpg,ผลไม้,,2026-03-08,normal,0
โลตัส มังคุด แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/50804367.jpg,ผลไม้,,2026-02-27,normal,0
แอปเปิ้ลญี่ปุ่นมูทสึ ลูกละ,199.00,https://o2o-static.lotuss.com/products/107654/26496496.jpg,ผลไม้,,2026-03-05,normal,0
โลตัส เงาะ แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/50804350.jpg,ผลไม้,,2026-03-02,normal,0
โลตัส ละมุด 500 กรัม แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/15499723.jpg,ผลไม้,,2026-02-27,normal,0
แตงซันเลดี้สีทอง กก.ละ,69.00/กก.,https://o2o-static.lotuss.com/products/107654/6294138.jpg,ผลไม้,,2026-03-03,normal,0
แอปเปิ้ลคิสเบล 3 ลูก แพ็คละ,119.00,https://o2o-static.lotuss.com/products/107654/51006924.jpg,ผลไม้,,2026-03-10,normal,0
โลตัส ละมุดอินเดีย 500 กรัม แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/52245881.jpg,ผลไม้,,2026-03-09,normal,0
ลิ้นจี่ฮงฮวย กก.ละ,69.00/กก.,https://o2o-static.lotuss.com/products/107654/11671254.jpg,ผลไม้,,2026-03-05,normal,0
แอปเปิ้ลรูบี้สตาร์ ไซส์ M แพ็คละ,119.00,https://o2o-static.lotuss.com/products/107654/73095354.jpg,ผลไม้,,2026-03-03,normal,0
ลิ้นจี่ฮงฮวย กก.ละ,69.00/กก.,https://o2o-static.lotuss.com/products/107654/4960.jpg,ผลไม้,,2026-02-27,normal,0
เซสปรี กีวี่ทอง 2 ลูก แพ็คละ,49.00,https://o2o-static.lotuss.com/products/107654/51950583.jpg,ผลไม้,,2026-03-10,normal,0
แอปเปิ้ลแซสซี่ แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75650399.jpg,ผลไม้,,2026-03-04,normal,0
มะม่วงมหาชนก แพ็คละ,49.00,https://o2o-static.lotuss.com/products/107654/75582030.jpg,ผลไม้,,2026-03-01,normal,0
โลตัส มะม่วงน้ำดอกไม้สุกคัดพิเศษ แพ็คละ,89.00,https://o2o-static.lotuss.com/products/107654/27069664.jpg,ผลไม้,,2026-03-03,normal,0
มะม่วงเขียวเสวย กก.ละ,99.00/กก.,https://o2o-static.lotuss.com/products/107654/51920170.jpg,ผลไม้,,2026-03-08,normal,0
โลตัส สับปะรดหอมสุวรรณ ลูกละ,79.00,https://o2o-static.lotuss.com/products/107654/75595574.jpg,ผลไม้,,2026-03-08,normal,0
มะม่วงศรีวิชัย กก.ละ,39.00/กก.,https://o2o-static.lotuss.com/products/107654/52681908.jpg,ผลไม้,,2026-03-07,normal,0
ส้มแมนดาริน กก.ละ,59.00/กก.,https://o2o-static.lotuss.com/products/107654/73247480.jpg,ผลไม้,,2026-03-06,normal,0
โลตัส ทุเรียนหมอนทอง (แกะเนื้อ) กก.ละ,699.00/กก.,https://o2o-static.lotuss.com/products/107654/75586020.jpg,ผลไม้,,2026-03-09,normal,0
เซสปรี กีวี่แดง แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75644471.jpg,ผลไม้,,2026-03-10,normal,0
เซสปรี กีวี่แดง แพ็คละ,79.00,https://o2o-static.lotuss.com/products/107654/75644472.jpg,ผลไม้,,2026-03-08,normal,0
โลตัส ส้มโอขาวใหญ่คัดพิเศษ ลูกละ,69.00,https://o2o-static.lotuss.com/products/107654/51704697.jpg,ผลไม้,,2026-03-08,normal,0
โลตัส ทุเรียนหมอนทอง (แกะเนื้อ) กก.ละ,700.00/กก.,https://o2o-static.lotuss.com/products/107654/51332439.jpg,ผลไม้,,2026-03-06,normal,0
แอปเปิ้ลกาล่า ไซส์ S 10 ลูก แพ็คละ,129.00,https://o2o-static.lotuss.com/products/107654/50845068.jpg,ผลไม้,,2026-03-04,normal,0
ฟรุตมาเนีย อินทผลัมธรรมชาติติดก้าน 500 กรัม,199.00,https://o2o-static.lotuss.com/products/107654/75598362.jpg,ผลไม้,,2026-02-28,normal,0
องุ่นออสเตรเลีย คัดพิเศษ มิกซ์ แพ็คละ,229.00,https://o2o-static.lotuss.com/products/107654/52514943.jpg,ผลไม้,,2026-03-06,normal,0
องุ่นออสเตรเลีย คัดพิเศษ มิกซ์ แพ็คละ,129.00,https://o2o-static.lotuss.com/products/107654/75646154.jpg,ผลไม้,,2026-03-05,normal,0
มะม่วงอาร์ทูอีทู กก.ละ,49.00/กก.,https://o2o-static.lotuss.com/products/107654/75015668.jpg,ผลไม้,,2026-03-06,normal,0
แพร์ มิกซ์ออสเตรเลี่ยน แพ็คละ,129.00,https://o2o-static.lotuss.com/products/107654/75639679.jpg,ผลไม้,,2026-03-02,normal,0
อโวคาโด พันธุ์ลูกยาว แพ็คละ,189.00,https://o2o-static.lotuss.com/products/107654/75645533.jpg,ผลไม้,,2026-03-08,normal,0
โครงการหลวง สตรอว์เบอร์รีพันธุ์ 89 200 กรัม แพ็คละ,109.00,https://o2o-static.lotuss.com/products/107654/75579633.jpg,ผลไม้,,2026-03-07,normal,0
แอปเปิ้ลฟูจิ 10 ลูก แพ็คละ,119.00,https://o2o-static.lotuss.com/products/107654/51885441.jpg,ผลไม้,,2026-02-28,normal,0
โครงการหลวง เคพกูสเบอรี่ 300 กรัม แพ็คละ,89.00,https://o2o-static.lotuss.com/products/107654/73147206.jpg,ผลไม้,,2026-03-03,normal,0
องุ่นไร้เมล็ด มิกซ์ แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75644040.jpg,ผลไม้,,2026-03-05,normal,0
องุ่นไร้เมล็ด มิกซ์ แพ็คละ,59.00,https://o2o-static.lotuss.com/products/107654/75644186.jpg,ผลไม้,,2026-03-08,normal,0
เสาวรส พันธุ์ไทนุง แพ็คละ,69.00,https://o2o-static.lotuss.com/products/107654/75640203.jpg,ผลไม้,,2026-03-04,normal,0
มะยงชิด พันธุ์ทูลเกล้า แพ็คละ,69.00,https://o2o-static.lotuss.com/products/107654/75637667.jpg,ผลไม้,,2026-03-09,normal,0
ลูกพรุน 200 กรัม แพ็คละ,49.00,https://o2o-static.lotuss.com/products/107654/51585934.jpg,ผลไม้,,2026-03-03,normal,0
แอปเปิ้ลเขียว ไซส์ S 10 ลูก แพ็คละ,129.00,https://o2o-static.lotuss.com/products/107654/50845047.jpg,ผลไม้,,2026-02-27,normal,0
แอปเปิ้ลกาล่า ไซส์ M 4 ลูก แพ็คละ,79.00,https://o2o-static.lotuss.com/products/107654/70195692.jpg,ผลไม้,,2026-03-03,normal,0
แอปเปิ้ลเขียว ไซส์ M 4 ลูก แพ็คละ,79.00,https://o2o-static.lotuss.com/products/107654/70195706.jpg,ผลไม้,,2026-02-27,normal,0
อโวคาโดพื้นเมือง 1.5 กก. แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75613148.jpg,ผลไม้,,2026-03-03,normal,0
แอปเปิ้ล พิงค์เลดี้ ไซส์ L 3 ลูก แพ็คละ,79.00,https://o2o-static.lotuss.com/products/107654/75596207.jpg,ผลไม้,,2026-02-28,normal,0
อโวคาโดนำเข้า ลูกละ,49.00,https://o2o-static.lotuss.com/products/107654/50413985.jpg,ผลไม้,,2026-03-04,normal,0
แอปเปิ้ลแจ๊ส ไซส์ S 6 ลูก แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/50845030.jpg,ผลไม้,,2026-02-27,normal,0
องุ่นดำไร้เมล็ด สวีท แซฟไฟร์ ออสเตรเลีย 700 กรัม แพ็คละ,149.00,https://o2o-static.lotuss.com/products/107654/52483379.jpg,ผลไม้,,2026-03-10,normal,0
องุ่นแดงไร้เมล็ด โรสคาราเมล แพ็คละ,199.00,https://o2o-static.lotuss.com/products/107654/75631041.jpg,ผลไม้,,2026-02-27,normal,0
มะม่วงเขียวมรกต กก.ละ,45.00/กก.,https://o2o-static.lotuss.com/products/107654/8425132.jpg,ผลไม้,,2026-03-08,normal,0
องุ่นเขียวไร้เมล็ด ออทั่มคริปส์ แพ็คละ,199.00,https://o2o-static.lotuss.com/products/107654/75631042.jpg,ผลไม้,,2026-02-27,normal,0
โครงการหลวง สตรอว์เบอร์รี 250 กรัม แพ็คละ,129.00,https://o2o-static.lotuss.com/products/107654/51684713.jpg,ผลไม้,,2026-03-03,normal,0
ส้มนาเวลนำเข้า กก.ละ,55.00/กก.,https://o2o-static.lotuss.com/products/107654/73884235.jpg,ผลไม้,,2026-02-27,normal,0
